,price,address,postal_code,bedrooms,bath,property_type
0,489900,9803 ELBOW DR SW,T2V 1M4,4 bed,2 bath,house
1,489000,140 CITADEL CREST CIR NW,T3G 4G3,3 bed,2 + 1 bath,house
2,449999,275 TARAVISTA ST NE,T3J 4S5,5 bed,2 + 1 bath,house
3,469900,25 DOUGLASBANK RISE SE,T2Z 2C5,4 bed,2 + 1 bath,house
4,351999,79 GALBRAITH DR SW,T3E 4Z5,N/A bed,N/A bath,house
5,179900,412A - 3730 50 ST NW,T3A 2V9,2 bed,2 bath,condo
6,369900,5508 5 AVE SE,T2A 4E3,3 bed,2 + 1 bath,house
7,544500,52 RIVERVIEW MEWS SE,T2C 3Z8,4 bed,3 bath,house
8,839900,19 WESTRIDGE CRES SW,T3H 5C9,4 bed,3 + 1 bath,house
9,419900,301 COVEWOOD CIR NE,T3K 5S8,4 bed,2 + 2 bath,house
10,299000,1603 - 135 13 AVE SW,T2R 0W8,1 bed,1 bath,condo
11,479000,188 RIVERBEND DR SE,T2C 3X8,3 bed,2 + 1 bath,house
12,295000,2205 - 1053 10 ST SW,T2R 1S6,2 bed,1 bath,condo
13,674999,106 CRANFORD GREEN SE,T3M 1V2,3 bed,2 + 1 bath,house
14,1065000,6720 LEASIDE DR SW,T3E 6H5,4 bed,2 + 1 bath,house
15,486000,116 RIVERGREEN CRES SE,T2C 3V6,4 bed,3 + 1 bath,house
16,655000,113 TREMBLANT WAY SW,T3H 0A7,5 bed,3 + 1 bath,house
17,679900,145 ELGIN ESTATES PK SE,T2Z 0B8,4 bed,3 + 1 bath,house
18,584888,66 COPPERPOND ST SE,T2Z 1J2,4 bed,3 + 1 bath,house
19,299900,1007 - 1140 15 AVE SW,T2R 1K6,2 bed,1 + 1 bath,condo
20,489900,9803 ELBOW DR SW,T2V 1M4,4 bed,2 bath,house
21,489000,140 CITADEL CREST CIR NW,T3G 4G3,3 bed,2 + 1 bath,house
22,449999,275 TARAVISTA ST NE,T3J 4S5,5 bed,2 + 1 bath,house
23,469900,25 DOUGLASBANK RISE SE,T2Z 2C5,4 bed,2 + 1 bath,house
24,351999,79 GALBRAITH DR SW,T3E 4Z5,N/A bed,N/A bath,house
25,179900,412A - 3730 50 ST NW,T3A 2V9,2 bed,2 bath,condo
26,369900,5508 5 AVE SE,T2A 4E3,3 bed,2 + 1 bath,house
27,544500,52 RIVERVIEW MEWS SE,T2C 3Z8,4 bed,3 bath,house
28,839900,19 WESTRIDGE CRES SW,T3H 5C9,4 bed,3 + 1 bath,house
29,419900,301 COVEWOOD CIR NE,T3K 5S8,4 bed,2 + 2 bath,house
30,299000,1603 - 135 13 AVE SW,T2R 0W8,1 bed,1 bath,condo
31,479000,188 RIVERBEND DR SE,T2C 3X8,3 bed,2 + 1 bath,house
32,295000,2205 - 1053 10 ST SW,T2R 1S6,2 bed,1 bath,condo
33,674999,106 CRANFORD GREEN SE,T3M 1V2,3 bed,2 + 1 bath,house
34,1065000,6720 LEASIDE DR SW,T3E 6H5,4 bed,2 + 1 bath,house
35,486000,116 RIVERGREEN CRES SE,T2C 3V6,4 bed,3 + 1 bath,house
36,655000,113 TREMBLANT WAY SW,T3H 0A7,5 bed,3 + 1 bath,house
37,679900,145 ELGIN ESTATES PK SE,T2Z 0B8,4 bed,3 + 1 bath,house
38,584888,66 COPPERPOND ST SE,T2Z 1J2,4 bed,3 + 1 bath,house
39,299900,1007 - 1140 15 AVE SW,T2R 1K6,2 bed,1 + 1 bath,condo
